formulation,axis,slice_direction,coordinate_m,x_m,y_m,u_parallel_m_s,u_tangential_m_s,u_x_m_s,u_y_m_s
brinkman_usfem_pkpk_k1,x,flux,7.95809e-05,7.95809e-05,0.00036505,3.4005860658257803e-06,2.221379667994629e-06,3.4005860658257803e-06,2.221379667994629e-06
brinkman_usfem_pkpk_k1,x,flux,8.19798e-05,8.19798e-05,0.00036505,3.373310715741942e-06,2.269975825372503e-06,3.373310715741942e-06,2.269975825372503e-06
brinkman_usfem_pkpk_k1,x,flux,8.437869999999999e-05,8.437869999999999e-05,0.00036505,3.3425271152656418e-06,2.3144422621886186e-06,3.3425271152656418e-06,2.3144422621886186e-06
brinkman_usfem_pkpk_k1,x,flux,8.67776e-05,8.67776e-05,0.00036505,3.306286236401068e-06,2.3524846892419988e-06,3.306286236401068e-06,2.3524846892419988e-06
brinkman_usfem_pkpk_k1,x,flux,8.91765e-05,8.91765e-05,0.00036505,3.270045357536494e-06,2.390527116295379e-06,3.270045357536494e-06,2.390527116295379e-06
brinkman_usfem_pkpk_k1,x,flux,9.15754e-05,9.15754e-05,0.00036505,3.2338044786719197e-06,2.4285695433487595e-06,3.2338044786719197e-06,2.4285695433487595e-06
brinkman_usfem_pkpk_k1,x,flux,9.39743e-05,9.39743e-05,0.00036505,3.1962868759498667e-06,2.4651515551838496e-06,3.1962868759498667e-06,2.4651515551838496e-06
brinkman_usfem_pkpk_k1,x,flux,9.63732e-05,9.63732e-05,0.00036505,3.13068134836326e-06,2.4696044322165487e-06,3.13068134836326e-06,2.4696044322165487e-06
brinkman_usfem_pkpk_k1,x,flux,9.87721e-05,9.87721e-05,0.00036505,3.065075820776653e-06,2.4740573092492477e-06,3.065075820776653e-06,2.4740573092492477e-06
brinkman_usfem_pkpk_k1,x,flux,0.000101171,0.000101171,0.00036505,2.9994702931900466e-06,2.478510186281947e-06,2.9994702931900466e-06,2.478510186281947e-06
brinkman_usfem_pkpk_k1,x,flux,0.00010356989999999999,0.00010356989999999999,0.00036505,2.9338647656034398e-06,2.482963063314646e-06,2.9338647656034398e-06,2.482963063314646e-06
brinkman_usfem_pkpk_k1,x,flux,0.0001059688,0.0001059688,0.00036505,2.8301223668102737e-06,2.4203274063126344e-06,2.8301223668102737e-06,2.4203274063126344e-06
brinkman_usfem_pkpk_k1,x,flux,0.0001083677,0.0001083677,0.00036505,2.709695086864239e-06,2.3283405156704362e-06,2.709695086864239e-06,2.3283405156704362e-06
brinkman_usfem_pkpk_k1,x,flux,0.00011076659999999999,0.00011076659999999999,0.00036505,2.5892678069182047e-06,2.236353625028238e-06,2.5892678069182047e-06,2.236353625028238e-06
brinkman_usfem_pkpk_k1,x,flux,0.0001131655,0.0001131655,0.00036505,2.4688405269721688e-06,2.1443667343860395e-06,2.4688405269721688e-06,2.1443667343860395e-06
brinkman_usfem_pkpk_k1,x,flux,0.0001155644,0.0001155644,0.00036505,2.312861399610799e-06,2.0029548817214817e-06,2.312861399610799e-06,2.0029548817214817e-06
brinkman_usfem_pkpk_k1,x,flux,0.0001179633,0.0001179633,0.00036505,2.090222558345671e-06,1.7688712252649968e-06,2.090222558345671e-06,1.7688712252649968e-06
brinkman_usfem_pkpk_k1,x,flux,0.0001203622,0.0001203622,0.00036505,1.8675837170805442e-06,1.5347875688085123e-06,1.8675837170805442e-06,1.5347875688085123e-06
brinkman_usfem_pkpk_k1,x,flux,0.0001227611,0.0001227611,0.00036505,1.6449448758154178e-06,1.300703912352028e-06,1.6449448758154178e-06,1.300703912352028e-06
brinkman_usfem_pkpk_k1,x,flux,0.00012516,0.00012516,0.00036505,1.4223060345502896e-06,1.0666202558955423e-06,1.4223060345502896e-06,1.0666202558955423e-06
brinkman_usfem_pkpk_k1,x,flux,0.0001275589,0.0001275589,0.00036505,1.1645726041367014e-06,8.72767681499897e-07,1.1645726041367014e-06,8.72767681499897e-07
brinkman_usfem_pkpk_k1,x,flux,0.00012995780000000002,0.00012995780000000002,0.00036505,9.068391737231121e-07,6.789151071042513e-07,9.068391737231121e-07,6.789151071042513e-07
brinkman_usfem_pkpk_k1,x,flux,0.0001323567,0.0001323567,0.00036505,6.491057433095258e-07,4.850625327086076e-07,6.491057433095258e-07,4.850625327086076e-07
brinkman_usfem_pkpk_k1,x,flux,0.0001347556,0.0001347556,0.00036505,3.913723128959368e-07,2.9120995831296203e-07,3.913723128959368e-07,2.9120995831296203e-07
brinkman_usfem_pkpk_k1,x,flux,0.00013715450000000002,0.00013715450000000002,0.00036505,2.5758904866395345e-07,1.913270091359759e-07,2.5758904866395345e-07,1.913270091359759e-07
brinkman_usfem_pkpk_k1,x,flux,0.0001395534,0.0001395534,0.00036505,1.8991253972882617e-07,1.4156119340894136e-07,1.8991253972882617e-07,1.4156119340894136e-07
brinkman_usfem_pkpk_k1,x,flux,0.0001419523,0.0001419523,0.00036505,1.222360307936981e-07,9.179537768190623e-08,1.222360307936981e-07,9.179537768190623e-08
brinkman_usfem_pkpk_k1,x,flux,0.00014435120000000001,0.00014435120000000001,0.00036505,5.455952185857006e-08,4.202956195487109e-08,5.455952185857006e-08,4.202956195487109e-08
brinkman_usfem_pkpk_k1,x,flux,0.00014675010000000002,0.00014675010000000002,0.00036505,7.310505048470456e-09,6.021176986749646e-09,7.310505048470456e-09,6.021176986749646e-09
brinkman_usfem_pkpk_k1,x,flux,0.000149149,0.000149149,0.00036505,6.752898809864089e-09,1.4583480390022068e-09,6.752898809864089e-09,1.4583480390022068e-09
brinkman_usfem_pkpk_k1,x,flux,0.0001515479,0.0001515479,0.00036505,6.195292571257715e-09,-3.1044809087452838e-09,6.195292571257715e-09,-3.1044809087452838e-09
brinkman_usfem_pkpk_k1,x,flux,0.00015394680000000002,0.00015394680000000002,0.00036505,5.637686332651342e-09,-7.667309856492774e-09,5.637686332651342e-09,-7.667309856492774e-09
