case,match_status,reference_pore_pair,native_full_pore_pair,min_native_overlap_fraction,min_reference_overlap_fraction,native_throat_index,native_radius_vx,native_area_vx2,native_shape_factor,native_shape_factor_raw,native_length_vx,native_core_length_vx,native_pore1_length_vx,native_pore2_length_vx,native_equivalent_conductance_mu1,reference_throat_index,reference_radius_vx,reference_area_vx2,reference_shape_factor,reference_shape_factor_raw,reference_length_vx,reference_core_length_vx,reference_pore1_length_vx,reference_pore2_length_vx,reference_equivalent_conductance_mu1,radius_vx_rel_diff,radius_vx_signed_ratio,area_vx2_rel_diff,area_vx2_signed_ratio,shape_factor_rel_diff,shape_factor_signed_ratio,length_vx_rel_diff,length_vx_signed_ratio,core_length_vx_rel_diff,core_length_vx_signed_ratio,pore1_length_vx_rel_diff,pore1_length_vx_signed_ratio,pore2_length_vx_rel_diff,pore2_length_vx_signed_ratio,equivalent_conductance_mu1_rel_diff,equivalent_conductance_mu1_signed_ratio
phi041_b20,native_only,16-33,13-33,0.4387351778656126,0.2371134020618556,44.0,0.5,1.0,0.0625,0.0625,16.483566380969314,5.439576905719872,6.193069172873819,4.850920302375623,4.7797406922351185e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
phi041_b20,matched,14-15,14-15,0.3476482617586912,0.7112970711297071,45.0,0.5,1.7044486695803789,0.03666874873702532,0.03666874873702532,8.9662323732908,2.9588566831859646,3.632870735382694,2.374504954722143,1.5116597387035506e-16,72.0,0.4997352,4.334128710112209,0.01440516,0.01440516,9.000585500000001,2.970193,3.349886,2.6805065,3.092255693843986e-16,0.0005296000000000189,1.0005298806247789,0.6067378743036334,0.39326212569636665,0.6071543072465202,2.545528736718323,0.0038167657769820375,0.9961832342230179,0.00381669366739315,0.9961833063326069,0.07789562469881924,1.0844759300414084,0.11415810604371109,0.8858418939562889,0.51114659058986,0.48885340941014
phi041_b20,matched,14-16,14-16,0.3476482617586912,0.6350515463917525,46.0,0.5,2.0,0.03125,0.03125,11.527585184693546,3.8041031109488697,3.433388834664667,4.290093239080009,1.4541836328318565e-16,80.0,0.4978136,1.4018725792619255,0.04419417,0.04419417,14.769263,4.873857,2.7634510000000003,7.1319550000000005,8.070820520573396e-17,0.0043727999999999545,1.0043920053610427,0.29906371036903723,1.4266631857889565,0.2928931576268996,0.7071068423731004,0.21948812309093924,0.7805118769090608,0.21948815672087432,0.7805118432791257,0.19512437038902947,1.2424279767090738,0.3984688295032696,0.6015311704967303,0.44499302987914974,1.8017791736602056
phi041_b20,matched,14-17,14-17,0.3476482617586912,0.7112970711297071,47.0,0.5,3.0,0.020833333333333332,0.020833333333333332,19.454237513687442,6.419898379516855,7.650927699959006,5.383411434211583,1.1278001672719042e-16,152.0,0.4995936,2.9951256611516257,0.02083333,0.02083333,17.6255905,5.816445,6.930875,4.8782705,1.1925567779940578e-16,0.0008127999999999469,1.000813461181248,0.0016247796161247645,1.0016274238211762,1.5999999991578306e-07,1.0000001600000255,0.09399736239474085,1.1037495460754885,0.0939973413663706,1.1037495204574024,0.09411312303511422,1.1038905910089283,0.09383286794715555,1.1035491849440457,0.054300652109057254,0.9456993478909428
phi041_b20,native_only,14-19,14-19,0.3476482617586912,0.6006006006006006,48.0,0.5,3.0,0.020833333333333332,0.020833333333333332,9.307244261361918,3.0713906062494316,2.1461031871743725,4.089750467938112,2.399546067398877e-16,,,,,,,,,,,,,,,,,,,,,,,,,,
phi041_b20,matched,14-22,14-22,0.3476482617586912,0.7112970711297071,49.0,0.5,2.6290351907060967,0.023772979616607556,0.023772979616607556,17.281220364467032,5.70280272027412,7.165558379498419,4.412859264694491,1.1532989312797853e-16,203.0,0.49567330000000004,0.9827680813315601,0.0625,0.0625,9.0013165,2.9704345000000005,4.019635500000001,2.0112465,8.379847536970563e-17,0.008653399999999922,1.0087289349658333,0.6261867909544369,2.675132862622071,0.6196323261342791,0.3803676738657209,0.4791272658898469,1.9198547639633639,0.4791272562454661,1.9198547284156977,0.439033877457381,1.7826388436211238,0.5442305364027417,2.1940917061605782,0.2734019507265416,1.3762767475083677
phi041_b20,matched,14-24,14-24,0.3476482617586912,0.7112970711297071,50.0,0.5,2.0462196095021645,0.03054413109412335,0.03054413109412335,8.15237545317215,2.6902838995468095,2.5247623432711452,2.937329210354195,1.9531662945715267e-16,59.0,0.49783595,2.9740880732029216,0.02083333,0.02083333,8.640769500000001,2.8514540000000004,2.506787,3.2825285,2.403562362214077e-16,0.004328099999999946,1.004346913877955,0.3119841917463783,0.6880158082536217,0.3179269059643243,1.466118527096885,0.05652205475772167,0.9434779452422783,0.05652207626466739,0.9434779237353326,0.007119617939110988,1.0071706703725307,0.10516261767287173,0.8948373823271283,0.18738688653273025,0.8126131134672697
phi041_b20,matched,14-34,14-34,0.3476482617586912,0.6045627376425855,51.0,0.5,5.0,0.0125,0.0125,21.691776827625834,7.158286353116526,11.29938860691144,3.234101867597867,1.5369454043257955e-16,81.0,0.4972108,0.9888743185465599,0.0625,0.06255814,13.227659000000001,4.365127,5.014545,3.847987,5.803229895477435e-17,0.005578399999999983,1.0056096931120562,0.802225136290688,5.056254274404621,0.8,0.2,0.39019937808166316,1.6398802560321393,0.3901994437398357,1.6398804326005922,0.5562109442865981,2.2533228053415497,0.1595340972831074,0.8404659027168926,0.622417954525645,2.6484310151551393
phi041_b20,native_only,14-37,14-37,0.3476482617586912,0.6787330316742082,52.0,0.5,2.0,0.03125,0.03125,32.78313654141924,10.818435058668348,17.536604625183294,4.428096857567597,4.7950778583265327e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
phi041_b20,native_only,14-40,14-42,0.3476482617586912,0.513715710723192,53.0,0.5,2.6140955230613048,0.02390884321121049,0.02390884321121049,22.939673271365763,7.5700921795507,11.7466153329374,3.622965758877663,8.911778649947769e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
